"LatD", "LatM", "LatS", "NS", "LonD", "LonM", "LonS", "EW", "City", "State", "Population", "Area"
41,5,59,N,80,39,0,W,Youngstown,OH,64000,75.2
42,52,48,N,97,23,23,W,Yankton,SD,15000,18.7
46,35,59,N,120,30,36,W,Yakima,WA,96000,64.1
42,16,12,N,71,48,0,W,Worcester,MA,185000,99.5
43,37,48,N,89,46,11,W,Wisconsin Dells,WI,2700,14.3
36,5,59,N,80,15,0,W,Winston-Salem,NC,245000,135.8
49,52,48,N,97,9,0,W,Winnipeg,MB,750000,464.0
39,11,23,N,78,9,36,W,Winchester,VA,27000,9.2
34,14,24,N,77,55,11,W,Wilmington,NC,120000,50.6
39,45,0,N,75,33,0,W,Wilmington,DE,70000,18.4
48,9,0,N,103,37,12,W,Williston,ND,14000,13.0
41,15,0,N,77,0,0,W,Williamsport,PA,28000,12.5
37,40,48,N,82,16,47,W,Williamson,WV,3000,7.3
33,54,0,N,98,29,23,W,Wichita Falls,TX,104000,72.1
37,41,23,N,97,20,23,W,Wichita,KS,390000,163.2
40,4,11,N,80,43,12,W,Wheeling,WV,28000,15.4
26,43,11,N,80,3,0,W,West Palm Beach,FL,110000,47.0
47,25,11,N,120,19,11,W,Wenatchee,WA,35000,19.9
41,25,11,N,122,23,23,W,Weed,CA,2800,5.7
31,13,11,N,82,20,59,W,Waycross,GA,14000,9.6
44,57,35,N,89,38,23,W,Wausau,WI,39000,21.5
42,21,36,N,87,49,48,W,Waukegan,IL,86000,33.1
44,54,0,N,97,6,36,W,Watertown,SD,22000,10.4
43,58,47,N,75,55,11,W,Watertown,NY,24000,17.8
42,30,0,N,92,20,23,W,Waterloo,IA,68000,22.7
41,32,59,N,73,3,0,W,Waterbury,CT,114000,18.0
38,53,23,N,77,1,47,W,Washington,DC,700000,68.3
41,50,59,N,79,8,23,W,Warren,PA,40000,11.2
46,4,11,N,118,19,48,W,Walla Walla,WA,33000,31.6
31,32,59,N,97,8,23,W,Waco,TX,135000,71.4
38,40,48,N,87,31,47,W,Vincennes,IN,18000,14.8
28,48,35,N,97,0,36,W,Victoria,TX,68000,40.2
32,20,59,N,90,52,47,W,Vicksburg,MS,22000,16.9
49,16,12,N,123,7,12,W,Vancouver,BC,675000,115.6
46,55,11,N,98,0,36,W,Valley City,ND,6300,6.2
30,49,47,N,83,16,47,W,Valdosta,GA,57000,27.3
43,6,36,N,75,13,48,W,Utica,NY,60000,11.8
39,54,0,N,79,43,48,W,Uniontown,PA,11000,9.5
32,20,59,N,95,18,0,W,Tyler,TX,105000,64.7
42,33,36,N,114,28,12,W,Twin Falls,ID,50000,20.9
33,12,35,N,87,34,11,W,Tuscaloosa,AL,100000,72.5
34,15,35,N,88,42,35,W,Tupelo,MS,37000,25.1
36,9,35,N,95,54,36,W,Tulsa,OK,400000,201.3
32,13,12,N,110,58,12,W,Tucson,AZ,540000,226.7
37,10,11,N,104,30,36,W,Trinidad,CO,9000,4.9
40,13,47,N,74,46,11,W,Trenton,NJ,83000,21.4
44,45,35,N,85,37,47,W,Traverse City,MI,15000,12.9
43,39,0,N,79,22,47,W,Toronto,ON,2732000,630.0
39,2,59,N,95,40,11,W,Topeka,KS,125000,60.3
41,39,0,N,83,32,24,W,Toledo,OH,270000,84.6
33,25,48,N,94,3,0,W,Texarkana,TX,37000,24.8
39,28,12,N,87,24,36,W,Terre Haute,IN,60000,28.7
27,57,0,N,82,26,59,W,Tampa,FL,400000,141.2
30,27,0,N,84,16,47,W,Tallahassee,FL,200000,104.3
47,14,24,N,122,25,48,W,Tacoma,WA,220000,130.5
43,2,59,N,76,9,0,W,Syracuse,NY,140000,25.4
32,35,59,N,82,20,23,W,Swainsboro,GA,7000,6.8
33,55,11,N,80,20,59,W,Sumter,SC,14000,15.6
40,59,24,N,75,11,24,W,Stroudsburg,PA,6000,5.1
37,57,35,N,121,17,24,W,Stockton,CA,320000,67.9
